
Deployment Image Servicing and Management tool
Version: 10.0.19041.844

Image Version: 10.0.19044.1620

Packages listing:


--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Package Identity                                                                                    | State      | Release Type    | Install Time      
--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Package_for_KB5003791~31bf3856ad364e35~amd64~~19041.1237.1.3                                        | Installed  | Update          | 2/2/2022 5:27 AM  
Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1620.1.10                                       | Installed  | Update          | 4/5/2022 4:14 PM  
Package_for_ServicingStack_1310~31bf3856ad364e35~amd64~~19041.1310.1.0                              | Installed  | Update          | 10/27/2021 3:23 PM
Package_for_ServicingStack_1371~31bf3856ad364e35~amd64~~19041.1371.1.0                              | Installed  | Update          | 12/17/2021 2:03 AM
Package_for_ServicingStack_1525~31bf3856ad364e35~amd64~~19041.1525.1.0                              | Installed  | Security Update | 2/11/2022 2:29 AM 
Package_for_ServicingStack_1613~31bf3856ad364e35~amd64~~19041.1613.1.1                              | Installed  | Update          | 4/5/2022 3:21 PM  
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.1022.1.1                                   | Superseded | Update          | 6/21/2021 8:47 AM 
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.1081.1.2                                   | Superseded | Security Update | 7/5/2021 8:00 AM  
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.1161.1.1                                   | Superseded | Security Update | 8/12/2021 2:13 AM 
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.1220.1.0                                   | Installed  | Security Update | 9/16/2021 1:43 AM 
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.860.1.0                                    | Superseded | Security Update | 3/11/2021 6:39 PM 
Package_for_ServicingStack~31bf3856ad364e35~amd64~~19041.925.1.1                                    | Superseded | Security Update | 4/16/2021 2:27 AM 

The operation completed successfully.
